number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9792400568920636,2026-02-14 21:28:18.811410,2026-02-14 21:28:21.422278,0 days 00:00:02.610868,0.6624074561769746,0.06504856968981275,10,144,0.8394633936788146,COMPLETE
1,0.9768062638044492,2026-02-14 21:28:21.423293,2026-02-14 21:28:23.254471,0 days 00:00:01.831178,0.8832290311184181,0.13983740016490973,3,89,0.8404460046972835,COMPLETE
2,0.9797236964133826,2026-02-14 21:28:23.256473,2026-02-14 21:28:25.540729,0 days 00:00:02.284256,0.6727299868828402,0.11536162338241392,10,55,0.6849356442713105,COMPLETE
3,0.9668137845856721,2026-02-14 21:28:25.540729,2026-02-14 21:28:26.710731,0 days 00:00:01.170002,0.7164916560792167,0.0199473547030745,5,96,0.7727780074568463,COMPLETE
4,0.9593854432240372,2026-02-14 21:28:26.710731,2026-02-14 21:28:27.768308,0 days 00:00:01.057577,0.7824279936868144,0.005292705365436975,4,203,0.7465447373174767,COMPLETE
5,0.974016859830591,2026-02-14 21:28:27.768308,2026-02-14 21:28:28.890025,0 days 00:00:01.121717,0.6185801650879991,0.018785426399210624,4,247,0.836965827544817,COMPLETE
6,0.959130496183688,2026-02-14 21:28:28.892027,2026-02-14 21:28:30.071643,0 days 00:00:01.179616,0.9862528132298237,0.0014492412389916862,4,202,0.9795542149013333,COMPLETE
7,0.959130496183688,2026-02-14 21:28:30.071643,2026-02-14 21:28:31.564776,0 days 00:00:01.493133,0.7760609974958406,0.0017456037635797405,5,252,0.8736932106048627,COMPLETE
8,0.959130496183688,2026-02-14 21:28:31.564776,2026-02-14 21:28:32.522115,0 days 00:00:00.957339,0.7035119926400067,0.0012167028814593455,6,80,0.9637281608315128,COMPLETE
9,0.9755123023560704,2026-02-14 21:28:32.522115,2026-02-14 21:28:33.791651,0 days 00:00:01.269536,0.6739417822102108,0.01942099825171803,5,216,0.8186841117373118,COMPLETE
10,0.9811294894191771,2026-02-14 21:28:33.792681,2026-02-14 21:28:34.853671,0 days 00:00:01.060990,0.8607466203112714,0.2521511680920944,10,146,0.6118421668094784,COMPLETE
11,0.9791187734117935,2026-02-14 21:28:34.853671,2026-02-14 21:28:35.898030,0 days 00:00:01.044359,0.8953622178900082,0.26736739773408263,10,146,0.6159269215693287,COMPLETE
12,0.9777691885441321,2026-02-14 21:28:35.898030,2026-02-14 21:28:36.763411,0 days 00:00:00.865381,0.8696710372698376,0.085543073548345,8,58,0.6119472561740763,COMPLETE
13,0.9804031675079129,2026-02-14 21:28:36.765425,2026-02-14 21:28:37.751009,0 days 00:00:00.985584,0.8208104960302075,0.2981542702904185,8,132,0.6876527286025467,COMPLETE
14,0.9807610385328088,2026-02-14 21:28:37.751009,2026-02-14 21:28:38.773150,0 days 00:00:01.022141,0.8375747737850934,0.2952864312798617,8,139,0.6832362688391809,COMPLETE
15,0.9804736422324332,2026-02-14 21:28:38.773150,2026-02-14 21:28:40.952723,0 days 00:00:02.179573,0.9717134208882985,0.04669207840693144,8,292,0.6750130525733469,COMPLETE
16,0.9791284515594034,2026-02-14 21:28:40.952723,2026-02-14 21:28:42.775265,0 days 00:00:01.822542,0.9375920406844779,0.03777226394710539,9,170,0.7264981017920175,COMPLETE
17,0.959130496183688,2026-02-14 21:28:42.775265,2026-02-14 21:28:44.216259,0 days 00:00:01.440994,0.8391207274502441,0.005952786665614969,7,110,0.6423196206558174,COMPLETE
18,0.9814237316826981,2026-02-14 21:28:44.384448,2026-02-14 21:28:46.453160,0 days 00:00:02.068712,0.7478344729997144,0.17996519854717144,9,166,0.650997620409863,COMPLETE
19,0.9618756694738767,2026-02-14 21:28:46.455162,2026-02-14 21:28:48.552512,0 days 00:00:02.097350,0.7406086632532847,0.005166378794851806,9,189,0.6043956756975085,COMPLETE
20,0.9797164614321945,2026-02-14 21:28:48.552512,2026-02-14 21:28:49.902848,0 days 00:00:01.350336,0.7600944022233307,0.151948385604125,9,173,0.6500019582377494,COMPLETE
21,0.9808668842038765,2026-02-14 21:28:49.902848,2026-02-14 21:28:50.984732,0 days 00:00:01.081884,0.8231009717623662,0.21508804084062821,7,122,0.7311941285873849,COMPLETE
