model,patient,Accuracy,Precision,Recall,F1 Score,F1 Macro,F1 Micro,ROC AUC
TabPFN,PN00,0.8960573476702509,0.9230769230769231,0.47058823529411764,0.6233766233766234,0.7815427815427816,0.8960573476702509,0.8635190918472652
TabPFN,PN01,0.9375,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.8913374913374914,0.9375,0.9272632129774986
TabPFN,PN03,0.8582677165354331,0.8148148148148148,0.6285714285714286,0.7096774193548387,0.8079637096774194,0.8582677165354331,0.8875776397515528
TabPFN,PN05,0.8774193548387097,0.5,0.5789473684210527,0.5365853658536586,0.7329766977967178,0.8774193548387097,0.8479102167182663
TabPFN,PN06,0.8722627737226277,0.8125,0.28888888888888886,0.4262295081967213,0.6771804625172518,0.8722627737226277,0.8763706938379429
TabPFN,PN07,0.5636363636363636,0.29411764705882354,1.0,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.8133333333333334
TabPFN,PN09,0.8224852071005917,1.0,0.03225806451612903,0.0625,0.48223039215686275,0.8224852071005917,0.9066152407667134
TabPFN,PN11,0.8363636363636363,0.5,0.5555555555555556,0.5263157894736842,0.7137073452862926,0.8363636363636363,0.821256038647343
TabPFN,PN12,0.8475336322869955,0.6,0.6818181818181818,0.6382978723404256,0.7708534816247583,0.8475336322869955,0.9019172168613508
TabPFN,PN14,0.9004739336492891,0.7333333333333333,0.39285714285714285,0.5116279069767442,0.7281094680002455,0.9004739336492891,0.7419984387197502
TabPFN,PN16,0.864,0.84,0.6176470588235294,0.711864406779661,0.8114295855887834,0.864,0.9272786037491919
TabPFN,PN17,0.8608695652173913,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7893772893772893,0.8608695652173913,0.8676739926739927
TabICL,PN00,0.8817204301075269,0.68,0.6666666666666666,0.6732673267326733,0.8005286305435795,0.8817204301075269,0.8611541107671138
TabICL,PN01,0.9107142857142857,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.8585858585858586,0.9107142857142857,0.9058084772370486
TabICL,PN03,0.889763779527559,0.8888888888888888,0.6857142857142857,0.7741935483870968,0.850638440860215,0.889763779527559,0.8748447204968944
TabICL,PN05,0.8838709677419355,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7300696594427245,0.8838709677419355,0.8409442724458205
TabICL,PN06,0.864963503649635,0.7,0.3111111111111111,0.4307692307692308,0.6770823379519032,0.864963503649635,0.8093643862202815
TabICL,PN07,0.5636363636363636,0.29411764705882354,1.0,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.7911111111111111
TabICL,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.794179523141655
TabICL,PN11,0.8181818181818182,0.45454545454545453,0.5555555555555556,0.5,0.6944444444444444,0.8181818181818182,0.7729468599033816
TabICL,PN12,0.8475336322869955,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7593321482986288,0.8475336322869955,0.8756348400203148
TabICL,PN14,0.8767772511848341,0.55,0.39285714285714285,0.4583333333333333,0.6944073083778967,0.8767772511848341,0.6984777517564403
TabICL,PN16,0.904,0.84375,0.7941176470588235,0.8181818181818182,0.8764822134387352,0.904,0.9153199741435036
TabICL,PN17,0.8347826086956521,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.7606528644977544,0.8347826086956521,0.8521062271062271
XGBoost,PN00,0.8207885304659498,0.5151515151515151,0.3333333333333333,0.40476190476190477,0.6496383363471971,0.8207885304659498,0.8134674922600619
XGBoost,PN01,0.9464285714285714,1.0,0.7142857142857143,0.8333333333333334,0.9007092198581561,0.9464285714285714,0.9293563579277865
XGBoost,PN03,0.8346456692913385,0.75,0.6,0.6666666666666666,0.7783595113438045,0.8346456692913385,0.8326086956521739
XGBoost,PN05,0.864516129032258,0.45454545454545453,0.5263157894736842,0.4878048780487805,0.7048689817753195,0.864516129032258,0.8010835913312693
XGBoost,PN06,0.843065693430657,0.5833333333333334,0.15555555555555556,0.24561403508771928,0.579018830171151,0.843065693430657,0.7914604560892771
XGBoost,PN07,0.6363636363636364,0.3333333333333333,1.0,0.5,0.6071428571428572,0.6363636363636364,0.8844444444444444
XGBoost,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.6570827489481066
XGBoost,PN11,0.7818181818181819,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.6590909090909091,0.7818181818181819,0.8019323671497585
XGBoost,PN12,0.8834080717488789,0.75,0.6136363636363636,0.675,0.8019808743169399,0.8834080717488789,0.8608430675469783
XGBoost,PN14,0.8862559241706162,0.6666666666666666,0.2857142857142857,0.4,0.668586387434555,0.8862559241706162,0.6816939890710383
XGBoost,PN16,0.872,0.95,0.5588235294117647,0.7037037037037037,0.8110355253212396,0.872,0.9301874595992243
XGBoost,PN17,0.8173913043478261,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.7192186955005232,0.8173913043478261,0.8479853479853481
RandomForest,PN00,0.8279569892473119,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.6423076923076924,0.8279569892473119,0.8054695562435501
RandomForest,PN01,0.9107142857142857,1.0,0.5238095238095238,0.6875,0.8177083333333333,0.9107142857142857,0.8956043956043956
RandomForest,PN03,0.8818897637795275,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8449328449328449,0.8818897637795275,0.8596273291925466
RandomForest,PN05,0.8258064516129032,0.3,0.3157894736842105,0.3076923076923077,0.6040306556911723,0.8258064516129032,0.7703173374613003
RandomForest,PN06,0.843065693430657,1.0,0.044444444444444446,0.0851063829787234,0.49963901983267506,0.843065693430657,0.7640465793304222
